444 | 2026-03-11 19:26:06,692 | uber | INFO | Thread-9 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,700 | uber | INFO | Thread-10 (fun1) | Database connection established
552 | 2026-03-11 19:26:07,441 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:07,442 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:07,442 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:07,443 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:07,444 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:06,366 | uber | INFO | Thread-1 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,514 | uber | INFO | Thread-2 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,641 | uber | INFO | Thread-3 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,798 | uber | INFO | Thread-4 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,823 | uber | INFO | Thread-7 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,872 | uber | INFO | Thread-5 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,926 | uber | INFO | Thread-6 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,928 | uber | INFO | Thread-8 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,929 | uber | INFO | Thread-9 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,936 | uber | INFO | Thread-10 (fun1) | Database connection established
552 | 2026-03-11 19:26:07,674 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:07,675 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:07,676 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:07,677 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:07,677 | uber | INFO | MainThread | Child batches executed count=0
540 | 2026-03-11 19:26:07,023 | uber | INFO | MainThread | Starting batch processing total_records=1000
540 | 2026-03-11 19:26:07,215 | uber | INFO | MainThread | Starting batch processing total_records=1000
444 | 2026-03-11 19:26:06,405 | uber | INFO | Thread-3 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,475 | uber | INFO | Thread-1 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,612 | uber | INFO | Thread-4 (fun1) | Database connection established
444 | 2026-03-11 19:26:06,851 | uber | INFO | Thread-2 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,054 | uber | INFO | Thread-7 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,055 | uber | INFO | Thread-8 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,056 | uber | INFO | Thread-10 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,063 | uber | INFO | Thread-5 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,064 | uber | INFO | Thread-6 (fun1) | Database connection established
444 | 2026-03-11 19:26:07,066 | uber | INFO | Thread-9 (fun1) | Database connection established
552 | 2026-03-11 19:26:08,722 | uber | INFO | MainThread | Completed batch processing threads=10
632 | 2026-03-11 19:26:08,723 | uber | INFO | MainThread | Parent batches executed count=10
540 | 2026-03-11 19:26:08,723 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:26:08,724 | uber | INFO | MainThread | Completed batch processing threads=0
635 | 2026-03-11 19:26:08,725 | uber | INFO | MainThread | Child batches executed count=0
444 | 2026-03-11 19:26:08,788 | uber | INFO | Thread-1 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,270 | uber | INFO | Thread-3 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,352 | uber | INFO | Thread-4 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,401 | uber | INFO | Thread-2 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,402 | uber | INFO | Thread-5 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,429 | uber | INFO | Thread-6 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,444 | uber | INFO | Thread-7 (fun1) | Database connection established
444 | 2026-03-11 19:26:09,476 | uber | INFO | Thread-10 (fun1) | Database connection established
